Órgão,Início,Término,Ciclo,Atividade,Dica,Municípios,Participação,ID,VTR,Viatura,KM
"REDEC 8 - SERRANA II","2020-06-29 08:00:00","2020-07-05 21:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Areal, Bom Jardim, Cachoeiras de Macacu, Cantagalo, Carmo, Comendador Levy Gasparian, Cordeiro, Duas Barras, Macuco, Nova Friburgo, Paraíba do Sul, Petrópolis, Santa Maria Madalena, São José do Vale do Rio Preto, São Sebastião do Alto, Sapucaia, Sumidouro, Teresópolis, Trajano de Moraes, Três Rios",promotor,501,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-06-29 16:00:00","2020-06-29 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,487,,,
"REDEC 4 - COSTA VERDE","2020-06-30 09:00:00","2020-06-30 10:30:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",participante,488,Sim,"ARDC - 035",230
"REDEC 3 - METROPOLITANA","2020-06-30 09:00:00","2020-06-30 15:00:00","Recuperação em Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Rio Bonito",participante,799,Sim,"ARDC - 015",210
"REDEC 4 - COSTA VERDE","2020-06-30 10:00:00","2020-06-30 11:30:00","Resposta a Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",participante,492,Sim,"V1 - 293",230
"REDEC 2 - BAIXADA FLUMINENSE","2020-06-30 16:00:00","2020-06-30 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,489,,,
"REDEC 3 - METROPOLITANA","2020-07-01 00:00:00","2020-07-31 00:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Rio de Janeiro (SEDEC), Itaboraí, Maricá, Niterói, Rio Bonito, São Gonçalo, Tanguá",promotor,779,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-01 07:00:00","2020-07-01 23:59:00","Preparação para Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",participante,490,,,
"REDEC 10 - NORTE","2020-07-01 08:00:00","2020-07-31 17:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Aperibé, Bom Jesus do Itabapoana, Cambuci, Campos dos Goytacazes, Cardoso Moreira, Italva, Itaocara, Itaperuna, Laje do Muriaé, Miracema, Natividade, Porciúncula, Santo Antônio de Pádua, São Fidélis, São Francisco do Itabapoana, São João da Barra, São José de Ubá, Varre-Sai",promotor,566,,,
CEMADEN-RJ,"2020-07-01 08:00:00","2020-07-01 23:59:00","Preparação para Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Rio de Janeiro (SEDEC)",promotor,2171,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-01 16:00:00","2020-07-01 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,491,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-02 16:00:00","2020-07-02 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,493,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-03 08:00:00","2020-07-03 12:00:00","Preparação para Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,494,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-03 14:00:00","2020-07-03 15:30:00","Prevenção de Riscos e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Engenheiro Paulo de Frontin, Japeri, Nova Iguaçu, Paracambi, Queimados, Seropédica",promotor,495,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-03 16:00:00","2020-07-03 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,496,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-04 16:00:00","2020-07-04 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,497,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-05 16:00:00","2020-07-05 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,498,,,
"REDEC 8 - SERRANA II","2020-07-06 08:00:00","2020-07-12 21:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Areal, Bom Jardim, Cachoeiras de Macacu, Cantagalo, Carmo, Comendador Levy Gasparian, Cordeiro, Duas Barras, Macuco, Nova Friburgo, Paraíba do Sul, Petrópolis, Santa Maria Madalena, São José do Vale do Rio Preto, São Sebastião do Alto, Sapucaia, Sumidouro, Teresópolis, Trajano de Moraes, Três Rios",promotor,525,,,
"REDEC 8 - SERRANA II","2020-07-06 08:00:00","2020-07-12 21:00:00","Preparação para Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Areal, Bom Jardim, Cachoeiras de Macacu, Cantagalo, Carmo, Comendador Levy Gasparian, Cordeiro, Duas Barras, Macuco, Nova Friburgo, Paraíba do Sul, Petrópolis, Santa Maria Madalena, São José do Vale do Rio Preto, São Sebastião do Alto, Sapucaia, Sumidouro, Teresópolis, Trajano de Moraes, Três Rios",promotor,526,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-06 16:00:00","2020-07-06 17:00:00","Preparação para Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Duque de Caxias, Magé, Queimados, São João de Meriti",promotor,504,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-06 16:00:00","2020-07-06 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,505,,,
"REDEC 4 - COSTA VERDE","2020-07-07 08:30:00","2020-07-07 10:30:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",promotor,507,Sim,"ARDC - 035",230
"REDEC 4 - COSTA VERDE","2020-07-07 10:30:00","2020-07-07 12:30:00","Resposta a Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",participante,508,Sim,"V1 - 293",230
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-07 16:00:00","2020-07-07 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,506,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-07 16:00:00","2020-07-07 18:00:00","Preparação para Emergências e Desastres","Instrução/Cursos Externa","Quando representantes da estrutura da SEDEC realizam Cursos e instrução fora da ESDEC. Registro apenas como participante. Ex: Congressos","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,511,,,
"REDEC 4 - COSTA VERDE","2020-07-08 14:00:00","2020-07-08 17:30:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",participante,509,Sim,"ARDC - 035",230
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-08 16:00:00","2020-07-08 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,510,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-09 14:30:00","2020-07-09 15:30:00","Preparação para Emergências e Desastres","Instrução/Cursos Externa","Quando representantes da estrutura da SEDEC realizam Cursos e instrução fora da ESDEC. Registro apenas como participante. Ex: Congressos","Rio de Janeiro (SEDEC)",promotor,512,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-09 15:30:00","2020-07-09 16:30:00","Preparação para Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Rio de Janeiro (SEDEC)",promotor,513,,,
"REDEC 4 - COSTA VERDE","2020-07-09 15:30:00","2020-07-09 17:30:00","Preparação para Emergências e Desastres","Reunião de Trabalho Interna","Reunião promovida pelo órgão para seus próprios integrantes. O registro é do órgão que promove a atividade","Rio de Janeiro (SEDEC)",participante,517,Sim,"V1 - 293",230
"REDEC 9 - BAIXADA LITORÂNEA","2020-07-09 15:30:00","2020-07-09 17:30:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Rio de Janeiro (SEDEC)",participante,679,,,
"REDEC 3 - METROPOLITANA","2020-07-09 15:30:00","2020-07-09 17:30:00","Preparação para Emergências e Desastres","Reunião de Trabalho Interna","Reunião promovida pelo órgão para seus próprios integrantes. O registro é do órgão que promove a atividade","Rio de Janeiro (SEDEC)",participante,798,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-09 16:00:00","2020-07-09 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,514,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-10 08:00:00","2020-07-10 12:00:00","Preparação para Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,515,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-10 10:00:00","2020-07-10 12:00:00","Prevenção de Riscos e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Engenheiro Paulo de Frontin, Japeri, Nova Iguaçu, Paracambi, Queimados, Seropédica",promotor,516,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-10 16:00:00","2020-07-10 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,518,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-11 16:00:00","2020-07-11 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,519,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-12 16:00:00","2020-07-12 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,520,,,
"REDEC 8 - SERRANA II","2020-07-13 08:00:00","2020-07-19 21:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Areal, Bom Jardim, Cachoeiras de Macacu, Cantagalo, Carmo, Comendador Levy Gasparian, Cordeiro, Duas Barras, Macuco, Nova Friburgo, Paraíba do Sul, Petrópolis, Santa Maria Madalena, São José do Vale do Rio Preto, São Sebastião do Alto, Sapucaia, Sumidouro, Teresópolis, Trajano de Moraes, Três Rios",promotor,558,,,
"REDEC 8 - SERRANA II","2020-07-13 08:00:00","2020-07-19 21:00:00","Preparação para Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Areal, Bom Jardim, Cachoeiras de Macacu, Cantagalo, Carmo, Comendador Levy Gasparian, Cordeiro, Duas Barras, Macuco, Nova Friburgo, Paraíba do Sul, Petrópolis, Santa Maria Madalena, São José do Vale do Rio Preto, São Sebastião do Alto, Sapucaia, Sumidouro, Teresópolis, Trajano de Moraes, Três Rios",promotor,560,,,
"REDEC 10 - NORTE","2020-07-13 09:00:00","2020-07-13 11:30:00","Prevenção de Riscos e Desastres","Reunião de Trabalho Interna","Reunião promovida pelo órgão para seus próprios integrantes. O registro é do órgão que promove a atividade",Itaperuna,promotor,588,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-13 16:00:00","2020-07-13 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,521,,,
"REDEC 4 - COSTA VERDE","2020-07-14 08:00:00","2020-07-14 10:30:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",participante,522,Sim,"ARDC - 035",230
"REDEC 4 - COSTA VERDE","2020-07-14 10:00:00","2020-07-14 12:30:00","Resposta a Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",participante,523,Sim,"ARDC - 035",230
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-14 10:00:00","2020-07-14 12:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Engenheiro Paulo de Frontin, Japeri, Nova Iguaçu, Paracambi, Queimados, Seropédica",promotor,524,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-14 16:00:00","2020-07-14 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,527,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-15 09:00:00","2020-07-15 10:30:00","Preparação para Emergências e Desastres","Instrução/Cursos Interna","O registro é de quem promove a instrução (ESDEC) e de quem participa como instrutor ou aluno","Rio de Janeiro (SEDEC)",promotor,529,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-15 10:30:00","2020-07-15 11:30:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Engenheiro Paulo de Frontin, Japeri, Nova Iguaçu, Paracambi, Queimados, Seropédica",promotor,530,,,
"REDEC 4 - COSTA VERDE","2020-07-15 14:00:00","2020-07-15 15:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",participante,531,Sim,"ARDC - 035",230
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-15 16:00:00","2020-07-15 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,528,,,
"REDEC 8 - SERRANA II","2020-07-16 09:00:00","2020-07-16 16:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc",Teresópolis,promotor,534,Sim,"ARDC - 032",150
"REDEC 4 - COSTA VERDE","2020-07-16 10:30:00","2020-07-16 12:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",promotor,532,Sim,"ARDC - 035",230
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-16 16:00:00","2020-07-16 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,533,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-17 08:00:00","2020-07-17 12:00:00","Preparação para Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,535,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-17 16:00:00","2020-07-17 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,536,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-18 16:00:00","2020-07-18 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,537,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-19 16:00:00","2020-07-19 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,538,,,
"REDEC 8 - SERRANA II","2020-07-20 08:00:00","2020-07-26 21:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Areal, Bom Jardim, Cachoeiras de Macacu, Cantagalo, Carmo, Comendador Levy Gasparian, Cordeiro, Duas Barras, Macuco, Nova Friburgo, Paraíba do Sul, Petrópolis, Santa Maria Madalena, São José do Vale do Rio Preto, São Sebastião do Alto, Sapucaia, Sumidouro, Teresópolis, Trajano de Moraes, Três Rios",promotor,559,,,
"REDEC 8 - SERRANA II","2020-07-20 08:00:00","2020-07-26 21:00:00","Preparação para Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Areal, Bom Jardim, Cachoeiras de Macacu, Cantagalo, Carmo, Comendador Levy Gasparian, Cordeiro, Duas Barras, Macuco, Nova Friburgo, Paraíba do Sul, Petrópolis, Santa Maria Madalena, São José do Vale do Rio Preto, São Sebastião do Alto, Sapucaia, Sumidouro, Teresópolis, Trajano de Moraes, Três Rios",promotor,561,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-20 16:00:00","2020-07-20 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,539,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-21 08:00:00","2020-07-21 17:00:00","Preparação para Emergências e Desastres","Instrução/Cursos Externa","Quando representantes da estrutura da SEDEC realizam Cursos e instrução fora da ESDEC. Registro apenas como participante. Ex: Congressos","Rio de Janeiro (SEDEC)",promotor,540,,,
"REDEC 4 - COSTA VERDE","2020-07-21 10:00:00","2020-07-21 12:00:00","Resposta a Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",participante,543,Sim,"ARDC - 035",230
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-21 16:00:00","2020-07-21 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,542,,,
"REDEC 4 - COSTA VERDE","2020-07-22 09:00:00","2020-07-22 12:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",participante,541,Sim,"ARDC - 035",230
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-22 09:00:00","2020-07-22 11:00:00","Preparação para Emergências e Desastres","Instrução/Cursos Interna","O registro é de quem promove a instrução (ESDEC) e de quem participa como instrutor ou aluno","Rio de Janeiro (SEDEC)",promotor,545,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-22 14:00:00","2020-07-22 15:00:00","Prevenção de Riscos e Desastres",Representação,"Participação em eventos e solenidades em nome do órgão","Nova Iguaçu",promotor,546,Sim,"ARDC - 012",60
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-22 16:00:00","2020-07-22 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,544,,,
"REDEC 4 - COSTA VERDE","2020-07-23 09:00:00","2020-07-23 13:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",promotor,547,Sim,"ARDC - 035",230
"REDEC 10 - NORTE","2020-07-23 14:00:00","2020-07-23 17:00:00","Prevenção de Riscos e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade",Miracema,promotor,562,Sim,"ARDC - 033",150
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-23 16:00:00","2020-07-23 18:00:00","Resposta a Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,548,,,
"REDEC 2 - BAIXADA FLUMINENSE","2020-07-24 08:00:00","2020-07-24 12:00:00","Preparação para Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,549,,,
"REDEC 4 - COSTA VERDE","2020-07-24 09:00:00","2020-07-24 12:30:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Angra dos Reis",participante,550,Sim,"ARDC - 035",230
