Órgão,Início,Término,Ciclo,Atividade,Dica,Municípios,Participação,ID,VTR,Viatura,KM
"REDEC 2 - BAIXADA FLUMINENSE","2019-04-24 10:00:00","2019-04-24 12:30:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Belford Roxo, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Paracambi, Queimados, São João de Meriti",promotor,90,Sim,"ARDC - 012",110
"REDEC 2 - BAIXADA FLUMINENSE","2019-05-14 09:00:00","2019-05-14 11:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",participante,92,Sim,"ARDC - 012",60
"REDEC 5 - SUL I","2019-05-19 09:00:00","2019-05-19 14:30:00","Resposta a Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Barra Mansa",participante,117,Sim,"ARDC - 018",40
"REDEC 5 - SUL I","2019-05-28 08:00:00","2019-06-07 17:30:00","Preparação para Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Volta Redonda",promotor,118,Sim,"ARDC - 018",420
"REDEC 2 - BAIXADA FLUMINENSE","2019-05-29 09:45:00","2019-05-29 12:30:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nova Iguaçu, Paracambi, São João de Meriti",promotor,91,Sim,"ARDC - 012",60
"REDEC 8 - SERRANA II","2019-06-06 09:00:00","2019-06-06 17:00:00","Prevenção de Riscos e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","São Sebastião do Alto",participante,135,Sim,"ARDC - 013",140
"REDEC 5 - SUL I","2019-06-12 10:00:00","2019-06-12 13:30:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Barra Mansa, Volta Redonda",participante,12,Sim,"ARDC - 018",123
"REDEC 8 - SERRANA II","2019-06-26 09:00:00","2019-06-26 13:00:00","Preparação para Emergências e Desastres","Participação em Eventos","Participação em ações sociais",Areal,participante,136,Sim,"ARDC - 013",140
"REDEC 2 - BAIXADA FLUMINENSE","2019-07-01 09:00:00","2019-07-01 12:00:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Engenheiro Paulo de Frontin, Guapimirim, Magé, Nova Iguaçu, Paracambi, Queimados, São João de Meriti",promotor,93,Sim,"ARDC - 012",60
"REDEC 2 - BAIXADA FLUMINENSE","2019-07-04 21:00:00","2019-07-04 23:59:00","Preparação para Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP",Seropédica,promotor,120,,,
"REDEC 2 - BAIXADA FLUMINENSE","2019-07-08 08:00:00","2019-07-08 17:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Duque de Caxias, Guapimirim, Magé, Mesquita, Nilópolis, Nova Iguaçu, Queimados, São João de Meriti, Seropédica",promotor,94,Sim,"ARDC - 012",350
"REDEC 2 - BAIXADA FLUMINENSE","2019-07-17 08:00:00","2019-07-17 17:00:00","Preparação para Emergências e Desastres","Instrução/Cursos Externa","Quando representantes da estrutura da SEDEC realizam Cursos e instrução fora da ESDEC. Registro apenas como participante. Ex: Congressos","Duque de Caxias, Guapimirim, São João de Meriti",promotor,99,Sim,"ARDC - 012",170
"REDEC 2 - BAIXADA FLUMINENSE","2019-07-24 08:00:00","2019-07-24 17:00:00","Preparação para Emergências e Desastres","Instrução/Cursos Externa","Quando representantes da estrutura da SEDEC realizam Cursos e instrução fora da ESDEC. Registro apenas como participante. Ex: Congressos","Duque de Caxias, Guapimirim, São João de Meriti",promotor,100,Sim,"ARDC - 012",160
"REDEC 2 - BAIXADA FLUMINENSE","2019-07-28 10:00:00","2019-07-28 12:00:00","Preparação para Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Nova Iguaçu",participante,95,Sim,"ARDC - 012",60
"REDEC 2 - BAIXADA FLUMINENSE","2019-07-31 08:00:00","2019-07-31 17:00:00","Preparação para Emergências e Desastres","Instrução/Cursos Externa","Quando representantes da estrutura da SEDEC realizam Cursos e instrução fora da ESDEC. Registro apenas como participante. Ex: Congressos","Duque de Caxias, Guapimirim, São João de Meriti",promotor,101,Sim,"ARDC - 012",160
"REDEC 8 - SERRANA II","2019-08-06 08:00:00","2019-08-06 18:00:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Bom Jardim",promotor,137,Sim,"ARDC - 013",40
"REDEC 2 - BAIXADA FLUMINENSE","2019-08-07 08:00:00","2019-08-07 17:00:00","Preparação para Emergências e Desastres","Instrução/Cursos Externa","Quando representantes da estrutura da SEDEC realizam Cursos e instrução fora da ESDEC. Registro apenas como participante. Ex: Congressos","Duque de Caxias, Guapimirim, São João de Meriti",promotor,102,Sim,"ARDC - 012",160
"REDEC 8 - SERRANA II","2019-08-12 09:00:00","2019-08-12 14:00:00","Prevenção de Riscos e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc",Macuco,participante,138,Sim,"ARDC - 013",80
"REDEC 2 - BAIXADA FLUMINENSE","2019-08-14 08:00:00","2019-08-14 17:00:00","Preparação para Emergências e Desastres","Instrução/Cursos Externa","Quando representantes da estrutura da SEDEC realizam Cursos e instrução fora da ESDEC. Registro apenas como participante. Ex: Congressos","Duque de Caxias, Guapimirim, São João de Meriti",promotor,103,Sim,"ARDC - 012",160
"REDEC 2 - BAIXADA FLUMINENSE","2019-08-25 10:00:00","2019-08-25 12:30:00","Preparação para Emergências e Desastres","Exercício Simulado","O registro é do órgão que promove a atividade e dos órgãos que participam","Nova Iguaçu",participante,96,Sim,"ARDC - 012",60
"REDEC 2 - BAIXADA FLUMINENSE","2019-08-27 09:30:00","2019-08-27 10:30:00","Preparação para Emergências e Desastres","Exercício Simulado","O registro é do órgão que promove a atividade e dos órgãos que participam","Duque de Caxias",participante,97,Sim,"ARDC - 012",80
